"","workerid","rt","trial_type","bias_%","trial","result","ntrials","response","matched"
"1","1",8125,"elicit_prevalence",60,"catch1",NA,50,"2",0
"2","1",18548,"elicit_prevalence",60,"catch2",NA,50,"2",0
"3","1",10575,"elicit_prevalence",60,"catch3",NA,50,"50",0
"4","2",5949,"elicit_prevalence",80,"catch1",NA,50,"2",0
"5","2",24396,"elicit_prevalence",80,"catch2",NA,50,"2",0
"6","2",3624,"elicit_prevalence",80,"catch3",NA,50,"50",0
"7","3",5609,"elicit_prevalence",80,"catch1",NA,100,"2",0
"8","3",8193,"elicit_prevalence",80,"catch2",NA,100,"2",0
"9","3",4255,"elicit_prevalence",80,"catch3",NA,100,"2",0
"10","4",8071,"elicit_prevalence",60,"catch1",NA,100,"2",0
"11","4",10425,"elicit_prevalence",60,"catch2",NA,100,"2",0
"12","4",9975,"elicit_prevalence",60,"catch3",NA,100,"1",0
"13","5",3835,"elicit_prevalence",80,"catch1",NA,100,"2",0
"14","5",18843,"elicit_prevalence",80,"catch2",NA,100,"2",0
"15","5",3733,"elicit_prevalence",80,"catch3",NA,100,"100",0
"16","6",4252,"elicit_prevalence",80,"catch1",NA,100,"2",0
"17","6",9493,"elicit_prevalence",80,"catch2",NA,100,"1",0
"18","6",6504,"elicit_prevalence",80,"catch3",NA,100,"50",0
"19","7",4798,"elicit_prevalence",80,"catch1",NA,50,"2",0
"20","7",8375,"elicit_prevalence",80,"catch2",NA,50,"2",0
"21","7",2899,"elicit_prevalence",80,"catch3",NA,50,"2",0
"22","8",3719,"elicit_prevalence",80,"catch1",NA,50,"2",0
"23","8",6823,"elicit_prevalence",80,"catch2",NA,50,"2",0
"24","8",5759,"elicit_prevalence",80,"catch3",NA,50,"50",0
"25","9",3145,"elicit_prevalence",80,"catch1",NA,100,"2",0
"26","9",5953,"elicit_prevalence",80,"catch2",NA,100,"2",0
"27","9",4776,"elicit_prevalence",80,"catch3",NA,100,"100",0
"28","10",4721,"elicit_prevalence",60,"catch1",NA,50,"2",0
"29","10",12430,"elicit_prevalence",60,"catch2",NA,50,"2",0
"30","10",3805,"elicit_prevalence",60,"catch3",NA,50,"50",0
"31","11",3296,"elicit_prevalence",60,"catch1",NA,50,"2",0
