workerid	rt	trial_type	result	time	prompt_type	response
0	NA	multi_trial	0	1712	NA	0
0	NA	multi_trial	0	421	NA	1
0	NA	multi_trial	0	495	NA	1
0	NA	multi_trial	1	446	NA	0
0	NA	multi_trial	1	398	NA	0
0	NA	multi_trial	1	502	NA	0
0	NA	multi_trial	0	598	NA	0
0	NA	multi_trial	1	935	NA	1
0	NA	multi_trial	1	718	NA	1
0	NA	multi_trial	1	663	NA	0
0	NA	multi_trial	0	742	NA	1
0	NA	multi_trial	0	750	NA	0
0	NA	multi_trial	1	702	NA	0
0	NA	multi_trial	1	655	NA	0
0	NA	multi_trial	1	679	NA	0
0	NA	multi_trial	0	806	NA	1
0	NA	multi_trial	1	575	NA	1
0	NA	multi_trial	0	686	NA	1
0	NA	multi_trial	0	902	NA	1
0	NA	multi_trial	1	574	NA	0
0	NA	multi_trial	1	630	NA	0
0	NA	multi_trial	0	246	NA	0
0	NA	multi_trial	0	518	NA	0
0	NA	multi_trial	0	694	NA	1
0	NA	multi_trial	0	431	NA	0
0	NA	multi_trial	1	535	NA	1
0	NA	multi_trial	1	1006	NA	0
0	NA	multi_trial	1	551	NA	0
0	NA	multi_trial	0	414	NA	0
0	NA	multi_trial	0	607	NA	1
0	NA	multi_trial	1	366	NA	0
0	NA	multi_trial	0	599	NA	0
0	NA	multi_trial	1	638	NA	1
0	NA	multi_trial	0	646	NA	0
0	NA	multi_trial	1	1030	NA	0
0	NA	multi_trial	1	934	NA	0
0	NA	multi_trial	1	718	NA	0
0	NA	multi_trial	1	703	NA	0
0	NA	multi_trial	0	654	NA	0
0	NA	multi_trial	1	694	NA	1
0	NA	multi_trial	1	735	NA	0
0	NA	multi_trial	0	727	NA	0
0	NA	multi_trial	0	718	NA	1
0	NA	multi_trial	1	488	NA	0
0	NA	multi_trial	0	870	NA	0
0	NA	multi_trial	0	686	NA	1
0	NA	multi_trial	1	1022	NA	1
0	NA	multi_trial	1	630	NA	0
0	NA	multi_trial	1	830	NA	0
0	NA	multi_trial	0	775	NA	0
0	NA	multi_trial	Final	NA	NA	27
0	4947	elicit_prevalence	NA	NA	catch1	2
0	2968	elicit_prevalence	NA	NA	catch2	2
0	3118	elicit_prevalence	NA	NA	catch3	50
0	5459	elicit_prevalence	NA	NA	prevalence	60
